               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,             0.03572,            0.093683,            0.062034,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075631,           0.0075631,           0.0075631
                 154,            0.032414,              0.0844,             0.06079,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075471,           0.0075471,           0.0075471
                 155,            0.034133,            0.079302,            0.063969,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075311,           0.0075311,           0.0075311
                 156,            0.033325,            0.090087,            0.061185,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007515,            0.007515,            0.007515
                 157,            0.031259,             0.08625,              0.0625,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007499,            0.007499,            0.007499
                 158,            0.030029,            0.078066,            0.061183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007483,            0.007483,            0.007483
                 159,            0.033141,            0.094271,            0.061226,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074669,           0.0074669,           0.0074669
                 160,            0.031842,            0.074895,            0.058021,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074509,           0.0074509,           0.0074509
                 161,            0.032328,            0.084368,            0.059343,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074349,           0.0074349,           0.0074349
                 162,            0.029853,            0.081439,            0.059666,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074188,           0.0074188,           0.0074188
                 163,            0.029521,            0.083421,            0.060518,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074028,           0.0074028,           0.0074028
                 164,            0.030367,            0.087182,            0.057729,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073868,           0.0073868,           0.0073868
                 165,            0.032358,            0.084367,            0.061981,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073707,           0.0073707,           0.0073707
                 166,            0.031974,            0.083934,            0.058676,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073547,           0.0073547,           0.0073547
                 167,            0.028692,            0.089687,            0.057231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073387,           0.0073387,           0.0073387
                 168,            0.030807,            0.086557,            0.061513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073226,           0.0073226,           0.0073226
                 169,             0.02926,            0.081226,            0.060636,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073066,           0.0073066,           0.0073066
                 170,            0.030581,            0.080127,            0.063458,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072906,           0.0072906,           0.0072906
                 171,            0.029111,            0.080268,            0.057621,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072745,           0.0072745,           0.0072745
                 172,            0.030992,            0.082771,             0.05987,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072585,           0.0072585,           0.0072585
                 173,            0.028385,            0.072659,            0.057092,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072425,           0.0072425,           0.0072425
                 174,            0.030206,            0.079737,             0.05769,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072265,           0.0072265,           0.0072265
                 175,            0.031653,            0.080112,            0.054471,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072104,           0.0072104,           0.0072104
                 176,            0.031057,            0.077154,            0.058677,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071944,           0.0071944,           0.0071944
                 177,            0.030922,            0.086071,            0.056277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071784,           0.0071784,           0.0071784
                 178,            0.030549,            0.078203,            0.057953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071623,           0.0071623,           0.0071623
                 179,            0.030522,              0.0732,            0.056024,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071463,           0.0071463,           0.0071463
                 180,            0.030222,             0.08263,             0.05698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071303,           0.0071303,           0.0071303
                 181,            0.032011,            0.083884,            0.055353,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071142,           0.0071142,           0.0071142
                 182,            0.034525,            0.080916,            0.056837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070982,           0.0070982,           0.0070982
                 183,            0.032161,            0.077679,            0.057866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070822,           0.0070822,           0.0070822
                 184,            0.032942,            0.089619,             0.05992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070661,           0.0070661,           0.0070661
